,deal_id,label_id
141,5189,261
142,5194,302
143,5195,261
144,5196,301
145,5206,56
146,5210,56
147,5217,404
148,5226,261
149,5250,56
150,5413,302
151,5419,261
152,5498,301
153,5534,301
154,5535,301
155,5536,301
156,5552,301
157,5553,301
158,5553,404
159,5592,301
160,5672,56
161,5684,261
162,5685,261
163,5707,261
164,5708,301
165,5710,261
166,5737,261
167,5882,56
168,5898,301
169,5901,404
170,5902,261
171,5903,261
172,5906,404
173,6201,301
174,6232,56
175,6233,56
176,6234,56
177,6235,56
178,6236,56
179,6237,56
180,6238,56
181,6259,301
182,6262,302
183,6284,404
184,6286,404
185,6289,404
186,6290,404
187,6291,404
188,6293,404
189,6296,301
190,6296,404
191,6302,301
192,6310,404
193,6342,56
194,6345,261
195,6345,404
196,6367,301
197,6376,261
198,6378,301
199,6435,301
200,6438,261
201,6439,301
202,6440,261
203,6441,261
204,6446,301
205,6446,404
206,6451,301
207,6456,56
208,6471,301
209,6473,301
210,6480,301
211,6481,404
212,6483,404
213,6485,261
214,6542,261
215,6552,404
216,6553,261
217,6555,301
218,6564,261
219,6565,261
220,6566,261
221,6567,261
222,6569,56
223,6569,301
224,6570,301
225,6571,301
226,6573,301
227,6581,301
228,6582,404
229,6587,301
230,6589,301
231,6670,301
232,6676,261
233,6678,261
234,6679,301
235,6682,301
236,6686,301
237,6691,301
238,6692,261
239,6702,301
240,6702,404
241,6703,301
242,6704,301
243,6706,301
244,6708,301
245,6709,301
246,6710,301
247,6711,261
248,6712,301
249,6713,56
250,6715,301
251,6718,301
252,6719,301
253,6720,404
254,6721,404
255,6727,301
256,6728,404
257,6730,301
258,6735,261
259,6736,301
260,6736,404
261,6737,301
262,6739,404
263,6740,404
264,6745,301
265,6746,301
266,6747,261
267,6748,301
268,6751,301
269,6752,261
270,6754,261
271,6756,301
272,6757,301
273,6758,301
274,4023,56
275,4161,56
276,4206,261
277,4276,261
278,4288,56
279,4289,56
280,4291,56
281,4388,261
282,4392,56
283,4410,301
284,4411,261
285,4413,261
286,4414,56
287,4421,56
288,4422,56
289,4426,56
290,4434,56
291,4435,56
292,4445,56
293,4447,56
294,4448,56
295,4457,56
296,4458,302
297,4460,56
298,4476,56
299,4489,56
300,4500,261
301,4514,56
302,4599,56
303,4606,56
304,4607,56
305,4609,301
306,4610,301
307,4621,56
308,4656,261
309,4671,56
